Census_ID	Species_ID	Species	Cave_Name	Cave_ID	Reference_Short	Reference_ID
27083	189	Chthonius tzanoudakisi Mahnert, 1975	Spilaio Chagioti	31	Beron 2016|Mahnert 1975|Schawaller 1990|Harvey 1991	706|264|451|1193
20882	190	Clanoptilus spinipennis (Germar, 1824)	Spilaio Drakou	106	Lindberg 1955b	141
20883	190	Clanoptilus spinipennis (Germar, 1824)	Spilaio Pataragkou Trypa	105	Beron 2016	706
15377	191	Clarkus papillatus (Bastian, 1865)	Spilaio Leondariou	42	Beron 2016	706
2890	193	Cordicantharis longicollis (Kiesenwetter 1859)	Spilaio Apano Skalas	55	Lindberg 1955b	141
31090	194	Cordioniscus andreevi Schmalfuss & Erhard, 1998	Spilaio Glyfadas Dirou	29	Alexiou & Sfenthourakis 2013|Schmalfuss & Erhard 1998|Beron 2016	673|520|706
15064	195	Cordioniscus antiparosi Andreev, 1985	Spilaio Andiparou	17	Andreev & Bozarova 2000|Andreev 1985|Andreev 1986|Schmalfuss & Erhard 1998|Beron 2016|Alexiou & Sfenthourakis 2013	526|405|417|520|706|673
15065	195	Cordioniscus antiparosi Andreev, 1985	Spilaio Nymfon-Ancient Marble Quarry	19	Andreev 1986|Beron 2016|Schmalfuss & Erhard 1998|Alexiou & Sfenthourakis 2013	417|706|520|673
20887	196	Cordioniscus beroni Vandel, 1968	Varathro Agrimotrypa	176	Beron 2016|Schmalfuss et al. 2004|Schmalfuss & Erhard 1998	706|572|520
20888	196	Cordioniscus beroni Vandel, 1968	Varathro Lakki Kontari	177	Beron 2016|Schmalfuss et al. 2004	706|572
20889	196	Cordioniscus beroni Vandel, 1968	Spilaio Kamilari	74	Vandel 1968|Dalens 1970|Schmalfuss 1972b|Schmalfuss & Erhard 1998|Schmalfuss et al. 2004|Beron 2016	213|228|248|520|572|706
20890	196	Cordioniscus beroni Vandel, 1968	Spilaio Savva Vardaki	175	Beron 2016|Schmalfuss et al. 2004	706|572
