Census_ID	Species_ID	Species	Cave_Name	Cave_ID	Reference_Short	Reference_ID
21688	727	Rhinolophus mehelyi Matschie, 1901	Spilaio Didymoteichou	448	Niethammer 1974|Hanak et al. 2001|Papamichael et al. 2014	257|537|1175
21826	727	Rhinolophus mehelyi Matschie, 1901	Kimmeria artificial galleries	252	Papamichael et al. 2014|Hanak et al. 2001	1175|537
35045	727	Rhinolophus mehelyi Matschie, 1901	Spilaio Koufovounou	97	Niethammer 1974|Hanak et al. 2001|Beron 2016|Ivanova 2000|Hurka 1972|Papamichael et al. 2014	257|537|706|530|250|1175
37743	727	Rhinolophus mehelyi Matschie, 1901	Spilaio Pelade	170	Lindberg 1955d|Iliopoulou-Georgudaki 1977|Iliopoulou-Georgudaki 1983b|Hanak et al. 2001|Beron 2016	145|290|372|537|706
38919	727	Rhinolophus mehelyi Matschie, 1901	Spilaio Alistratis	59	Paragamian 1992|Beron 2016	468|706
44899	727	Rhinolophus mehelyi Matschie, 1901	Spilaio Petralonon	135	Beron 2016|Hanak et al. 2001	706|537
45048	727	Rhinolophus mehelyi Matschie, 1901	Spilaio Limnon	32	Beron 2016|Hanak et al. 2001|Iliopoulou-Georgudaki 1977|Ondrias 1965|Strinati 1955	706|537|290|195|140
50032	727	Rhinolophus mehelyi Matschie, 1901	Tsoutouros mine galleries	326	Papadatou 2010	634
50545	727	Rhinolophus mehelyi Matschie, 1901	Spilaio Maroneias	80	Beron 2016|Hanak et al. 2001|Paragamian et al. 2004|Ivanova & Gueorguieva 2004	706|537|1178|560
2562	728	Rhinolophus sp.	Spilaio Skoteini	45	Beron 2016	706
7823	728	Rhinolophus sp.	Spilaio Agion Theodoron	345	Beron 2016	706
46566	729	Rhodera hypogea Deeleman-Reinhold, 1989	Spilaio Milatou	15	Deeleman-Reinhold 1989|Beron 2016|Bosmans & Chatzaki 2005|Bosmans et al. 2013	447|706|579|678
35046	730	Rhodopiella beroni (Strasser, 1966)	Spilaio Koufovounou	97	Beron 2016|Beron et al. 2004	706|574
22820	731	Roncus corcyraeus Beier, 1963	Spilaio Karoucha	64	Beron 2016|Mahnert & Gardini 2014|Mahnert 1975	706|679|264
26966	731	Roncus corcyraeus Beier, 1963	Spilaio Megali Grava	4	Beron 2016|Mahnert & Gardini 2014|Gardini 1988|Gardini 1985|Schawaller 1981|Mahnert 1975|Mahnert 1973|Harvey 1991|Mahnert 1978	706|679|429|409|344|264|254|1193|302
13506	732	Roncus gasparoi Mahnert & Gardini, 2014	Spilaio Anthropograva	166	Beron 2016|Mahnert & Gardini 2014	706|679
39347	733	Roncus giachinoi Mahnert & Gardini, 2014	Spilaio Megalo Spilaio	99	Beron 2016|Mahnert & Gardini 2014|Casale et al. 2013|Casale 1997	706|679|662|506
27088	734	Roncus giganteus Mahnert, 1973	Spilaio Chagioti	31	Mahnert & Gardini 2014|Mahnert 1975	679|264
47449	735	Roncus liebegotti Schawaller, 1981	Spilaio Kyklopa	76	Beron 2016|Schawaller 1981|Schawaller 1985|Harvey 1991	706|344|404|1193
42864	736	Roncus lubricus L. Koch, 1873	Spilaio Agias Sofias	22	Beier 1931a|Wolf 1937b|Wolf 1938	65|92|97
45049	736	Roncus lubricus L. Koch, 1873	Spilaio Limnon	32	Beron 2016|Mahnert & Gardini 2014|Mahnert 1975	706|679|264
48671	736	Roncus lubricus L. Koch, 1873	Anonymous cave at Trypi	297	Mahnert 1978	302
46257	737	Roncus novus Beier, 1931	Spilaio Katholikou	21	Wolf 1938|Wolf 1937b|Beier 1931a|Harvey 1991	97|92|65|1193
49093	737	Roncus novus Beier, 1931	Spilaio Melidoniou	58	Beier 1931a|Harvey 1991|Wolf 1938|Wolf 1937b	65|1193|97|92
22833	738	Roncus peramae Helversen, 1969	Spilaio Peramatos	44	Beron 2016|Mahnert & Gardini 2014|Schawaller 1981|Mahnert 1975|Helversen 1969|Schawaller 1985|Harvey 1991	706|679|344|264|220|404|1193
22860	739	Roncus pieperi Mahnert & Gardini, 2014	Spilaio Drogkaratis	212	Beron 2016|Mahnert & Gardini 2014	706|679
22861	739	Roncus pieperi Mahnert & Gardini, 2014	Spilaio Fytidi	39	Beron 2016|Mahnert & Gardini 2014|Mahnert 1975	706|679|264
2314	740	Roncus sp.	Spilaio Agias Triadas	37	Beron 2016	706
2362	740	Roncus sp.	Spilaio Drakotrypa	38	Beron 2016	706
35016	740	Roncus sp.	Spilaio Koufovounou	97	Beron et al. 2004	574
39188	740	Roncus sp.	Spilaio Trypa Pachnis	120	Beron 2016|Beron et al. 2011	706|1208
39269	740	Roncus sp.	Spilaio Megalo Spilaio	99	Casale et al. 2013|Beron 2016	662|706
38920	903	Salamandra salamandra (Linnaeus, 1758)	Spilaio Alistratis	59	Beron 2016|Paragamian 1992	706|468
14928	741	Salentinella angelieri Ruffo & Delamare Deboutteville, 1952	Spilaio Agiou Thoma	256	Beron 2016|Ruffo 1953	706|120
42316	741	Salentinella angelieri Ruffo & Delamare Deboutteville, 1952	Spilaio Glyfadas Dirou	29	Ruffo 1953|Lindberg 1955d|Beron 2016	120|145|706
42389	741	Salentinella angelieri Ruffo & Delamare Deboutteville, 1952	Spilaio Alepotrypa	28	Beron 2016|Bou 1975	706|270
29898	742	Sasatrombicula bureschi Kolebinova & Beron, 1965	Spilaio Kryoneridas	351	Beron 2016|Kolebinova 1970	706|223
37123	743	Sasatrombicula cherrata (Taufflieb, 1960)	Spilaio Kryoneridas	351	Kolebinova 1970|Beron 2016	223|706
37126	744	Sasatrombicula hexasternalae Vercammen-Grandjean, 1963	Spilaio Kryoneridas	351	Kolebinova 1970|Beron 2016	223|706
29901	745	Sasatrombicula mediterranea Kolebinova & Vercammen-Grandjean, 1971	Spilaio Kryoneridas	351	Beron 2016|Kolebinova & Vercammen-Grandjean 1971	706|234
49215	746	Savignia naniplopi Bosselaers & Henderickx, 2002	Spilaio Arkalospilios	380	Bosselaers & Henderickx 2002|Bosmans et al. 2013	545|678
49216	746	Savignia naniplopi Bosselaers & Henderickx, 2002	Spilaio Doxa	191	Bosselaers & Henderickx 2002|Bosmans et al. 2013|Beron 2016|Bosmans & Chatzaki 2005	545|678|706|579
49217	746	Savignia naniplopi Bosselaers & Henderickx, 2002	Spilaio Melidoniou	58	Gasparo 2003|Bosmans et al. 2013	556|678
41718	747	Scantius aegyptius (Linnaeus 1758)	Spilaio Leondariou	42	Lindberg 1955d|Beron 2016	145|706
38279	748	Schistophallus cyprius (L. Pfeiffer, 1847)	Spilaio Apano Skalas	55	Beron 2016|Riedel 1992|Riedel 1983|Riedel 1959	706|465|364|169
43836	627	Schistophallus minoicus (Riedel, 1968)	Spilaio Diktaio Antro	16	Riedel 1968|Riedel 1996|Beron 2016	212|502|706
13784	629	Schistophallus samius (Martens, 1889)	Spilaio Vredou	47	Beron 2016|Riedel 1972	706|246
45050	629	Schistophallus samius (Martens, 1889)	Spilaio Limnon	32	Beron 2016|Riedel 1996|Riedel 1992|Riedel 1986	706|502|465|415
46986	629	Schistophallus samius (Martens, 1889)	Spilaio Za	20	Beron 2016	706
48131	629	Schistophallus samius (Martens, 1889)	Varathro Megalos Votsos	149	Riedel 1992|Riedel 1996	465|502
48793	629	Schistophallus samius (Martens, 1889)	Cave on Kerkis Mount	356	Beron 2016|Martens 1889|Riedel 1958|Riedel 1972|Riedel 1992|Riedel 1996	706|13|161|246|465|502
48803	629	Schistophallus samius (Martens, 1889)	Spilaio Katafygi	357	Riedel 1992|Riedel 1996	465|502
13816	631	Schistophallus spratti (Westerlund, 1892)	Spilaio Tzani Spilios	136	Beron 2016|Riedel 1996|Riedel 1992	706|502|465
44070	631	Schistophallus spratti (Westerlund, 1892)	Spilaio Geraniou	148	Riedel 1996|Beron 2016|Riedel 1992|Riedel 1977	502|706|465|281
20611	749	Schizidium beroni Andreev, 2001	Spilaio Zoodochou Pigis I	71	Beron 2016|Alexiou & Sfenthourakis 2013|Beron 1985|Di Russo & Rampini 2001|Schmalfuss 2005|Gasparo 2009	706|673|399|539|577|629
20612	749	Schizidium beroni Andreev, 2001	Spilaio Zoodochou Pigis II	172	Andreev 2001|Beron 2016	543|706
47431	750	Schizidium oertzeni (Budde-Lund, 1896)	Spilaio Kyklopa	62	Beron 1985|Beron 2016	399|706
48830	751	Schizidium paragamiani Schmalfuss, 2005	Varathro Votsos Agiou Theologou	393	Beron 2016|Schmalfuss 2005	706|577
20626	752	Schizidium perplexum (Vandel, 1958)	Spilaio Faneromenis	397	Beron 2016|Schmalfuss et al. 2004	706|572
20627	752	Schizidium perplexum (Vandel, 1958)	Spilaio Tis Margias o Spilios	399	Beron 2016|Schmalfuss et al. 2004	706|572
20629	752	Schizidium perplexum (Vandel, 1958)	Spilaio Monis Kaleri	398	Beron 2016|Schmalfuss et al. 2004	706|572
20630	752	Schizidium perplexum (Vandel, 1958)	Spilaio Atsiganospilios	84	Beron 2016|Schmalfuss et al. 2004	706|572
