ID	Short	Title	Year	Section
888	Merdenesianos 2000b	The archaelogical cave “Eidolion” of Paliampelo, Vonitsa	2000	Bull. Soc. Speleol. Grèce 21:193–199.
889	Merdenesianos 2000c	The cave of paleoanthropological importance “Koukouri” of Dryalos, Lakonia	2000	Bull. Soc. Speleol. Grèce 21:185–192.
890	Merdenisianos 1985	The cave Vythakas of Dyros, Mani	1985	Archaiologia
891	Missirian 1954	The cave of Kleisoura, Klenia	1954	Bull. Soc. Speleol. Grèce 2:225–226.
892	Moschonas & Petrocheilou 1978	The pothole - sinkhole “Trypa tou Arapi” of Arapolakkas, Pylos, Messinia	1978	Bull. Soc. Speleol. Grèce 15:16–21.
893	Moysidis 1954	The cave Koumpedon (Irakleio, Kriti)	1954	Bull. Soc. Speleol. Grèce
894	Nathenas 1992a	Nine potholes in the area of Gonies, Malevizi, Kriti: “Kastellos”, “Katsoufenas Kamaraki”, “Trikofefalo”, “Skala Antichti”, “Konstanti”, “Mesi Platon”, “Kati Lakki”, “Mavrianou”, “Lakkos Mavrianou”	1992	Bull. Soc. Speleol. Grèce 20:160–171.
895	Nathenas 1992b	Two anonymous potholes in the area of Sises, Rethymno	1992	Bull. Soc. Speleol. Grèce 20:224-225.
896	Nathenas 1992c	Speleological researches in the area of Damasta, Malevizi, Kriti	1992	Bull. Soc. Speleol. Grèce 20:203–205.
897	Nathenas 1992d	The potholes “Markomichali” and “Kontolio” in the area of Astyraki, Malevizi, Kriti	1992	Bull. Soc. Speleol. Grèce 20:200–202.
898	Nathenas 1992e	The pothole “Peristerotafkos” in the area of Marathos, Malevizi, Kriti	1992	Bull. Soc. Speleol. Grèce 20:222–223.
899	Nathenas 1992f	The pothole “tou Stefanaki o Tafkos” in the area of Aidonochori, Irakleio, Kriti	1992	Bull. Soc. Speleol. Grèce 20:189–190.
900	Nathenas 1992g	The pothole “Trikolakki” of municipality of Anogeia, Mylopotamos, Kriti	1992	Bull. Soc. Speleol. Grèce 20:198–199.
901	Nathenas 2006	Speleological researches at Gonies, Malevizi	2006	In Paragamian, K. and D. Choreftaki. Proceedings of the 2nd Pancretan Speleological Symposium dedicated to the memory of Eleftherios Platakis Irakleio Crete Hellenic Speleological Society, Department of Crete. 31-40.
902	Nikolaidis 2000	The vertical cave “Arampatzis”	2000	Oikotopia
903	Nikolaou & Stathakopoulos 2000	The cave Skoutogravas of Krini, Kerkyra	1989	Bull. Soc. Speleol. Grèce 19:154–157.
904	Nikolaou 1989	The vertical cave of Palioekklisia, Kerkyra	1989	Bull. Soc. Speleol. Grèce 19:87–88.
905	Nikolopoulos & Martzoukos 1955	Eftastomos of Parnassos	1955	To Vouno Greek Mountaineering Club. 4:102–106.
906	Nikolopoulos & Martzoukos 1957b	Four potholes of Kerkyra	1957	To Vouno Greek Mountaineering Club. 6:170–172.
907	Nikolopoulos 1954	The cave Drakou, Kastoria	1954	To Vouno Greek Mountaineering Club. 1:2–3.
908	Nikolopoulos 1961	The cave Tzani or Chonos	1961	To Vouno Greek Mountaineering Club. 6:169–172.
909	Nikolopoulos 1962	The pothole Zaliska	1962	To Vouno Greek Mountaineering Club.
910	Nikoloudakis & Paragamian 2006.	Speleological researches in the area of Asterousia mountains	2006	In Paragamian, K. and D. Choreftaki. Proceedings of the 2nd Pancretan Speleological Symposium dedicated to the memory of Eleftherios Platakis Irakleio Crete Hellenic Speleological Society, Department of Crete. 83-89.
911	Oikonomou 1995	Known and unknown caves of Naousa	1995	Niaousta 95/96:48–52.
912	Pallikaropoulos & Papadis 1966a	The cave Vlachou	1966	Bull. Soc. Speleol. Grèce 8:202–205.
913	Pallikaropoulos & Papadis 1966b	The cave Ferpaki	1966	Bull. Soc. Speleol. Grèce 8:234–236.
914	Pallikaropoulos 1965	The pothole “Choni Lagki” (CRNr HSS 336)	1965	Bull. Soc. Speleol. Grèce 8:72–75.
915	Pallikaropoulos 1969	The cave Drakou, Kastoria (CRNr 531)	1969	Bull. Soc. Speleol. Grèce 10:58–67.
916	Pallikaropoulos 1970	The cave Pataragkou, Kastoria (CRNr 3620)	1970	Bull. Soc. Speleol. Grèce 10:47–49.
917	Panagiotidis 1978	The cave - pothole of Alea Nemeas, Argolida	1978	Bull. Soc. Speleol. Grèce 15:108–111.
918	Panagiotou 1965	The cave Limnon of Kastria	1965	To Vouno Greek Mountaineering Club. 1–2:39–48.
919	Papadaki et al. 2006	Speleological researches at Kythira	2006	In Paragamian, K. and D. Choreftaki. Proceedings of the 2nd Pancretan Speleological Symposium dedicated to the memory of Eleftherios Platakis Irakleio Crete Hellenic Speleological Society, Department of Crete. 83-89.
920	Papadopoulos 1992	Speleological researches in the area of Amfilochia	1992	Bull. Soc. Speleol. Grèce 20:116–122.
921	Papanikolaou 2000	Speleological researches in Rodos	2000	Bull. Soc. Speleol. Grèce 22:123–136.
922	Paragamian & Nathenas 1992	Six potholes and a cave at Gonies, Malevizi, Kriti: “Psarogeni Trypa” , “Sfentilidolaki I”, “Prinou Tafkos”, “Tou Xerakia to Armi”, “Piso Lagkos”, “Sykidi”, and the cave “Anemospilia”	1992	Bull. Soc. Speleol. Grèce 20:178–188.
923	Paragamian 1989	Greek-Yugoslav speleological and biospeleological expedition in Kriti	1989	Bull. Soc. Speleol. Grèce 19:241–244.
924	Paragamian 1992b	Seven potholes at Gonies, Malevizi, Kriti: “Simantiraki”, “Xerakolagkoufo I”, “Xerakolagkoufo II”, “Rikomaschalou”, “Poros tou Stenou langou”, “To lakki tou Kontari” and “Sarnitsolaki”	1992	Bull. Soc. Speleol. Grèce 20:144–154.
925	Paragamian 1992c	Two potholes at Gonies, Malevizi, Kriti: “Kynigotafkos” and “Skararolithos”	1992	Bull. Soc. Speleol. Grèce 20:172–177.
926	Paragamian 1992d	The pothole “Psistraki” at Gonies, Malevizi, Kriti	1992	Bull. Soc. Speleol. Grèce 20:155–159.
927	Paragamian 1992e	Potholes of Dia island, Irakleio, Kriti	1992	Bull. Soc. Speleol. Grèce 20:226–230.
