Census_ID	Species_ID	Species	Cave_Name	Cave_ID	Reference_Short	Reference_ID
34825	54	Amphipyra effusa Boisduval, 1828	Spilaio Agiou Athanasiou	93	Alexiou et al. 2014	681
34826	54	Amphipyra effusa Boisduval, 1828	Spilaio Neraidospilia	94	Alexiou et al. 2014	681
34827	54	Amphipyra effusa Boisduval, 1828	Spilaio Nerospilia	78	Beron 2016	706
35258	54	Amphipyra effusa Boisduval, 1828	Spilaio Maroneias	80	Beron et al. 2004|Beron 2016|Beshkov & Wegner 2004	574|706|1171
4429	55	Anamastigona sp.	Spilaio Tymfis I	96	Beron 2016	706
36536	942	Anemadus creticus (Heyden, 1883)	Spilaio Tzani Spilios	136	Beron 2016|Giachino & Vailati 1993	706|477
36537	942	Anemadus creticus (Heyden, 1883)	Spilaio Diktaio Antro	16	Beron 2016|Giachino & Vailati 1993|Beron 2016|Giachino & Vailati 1993	706|477|706|477
39396	56	Anemadus graecus (Kraatz, 1870)	Spilaio Koufovounou	97	Beron 2016|Guéorguiev 2004|Beron et al. 2004	706|567|574
39397	56	Anemadus graecus (Kraatz, 1870)	Spilaio Kokkinou Vrachou	49	Ganglbauer 1896	14
39945	56	Anemadus graecus (Kraatz, 1870)	Spilaio Agion Theodoron	243	Giachino & Lana 2005|Giachino & Vailati 1993|Pretner 2011|Beron 2016	576|477|653|706
40858	57	Anemadus pellitus Reitter, 1885	Spilaio Limnon	32	Giachino & Vailati 1993|Beron 2016	477|706
40859	57	Anemadus pellitus Reitter, 1885	Spilaio Anemotrypa	95	Bonzano & Calandri 1984	387
40860	57	Anemadus pellitus Reitter, 1885	Spilaio Aera	98	Casale & Vigna Taglianti 1990	459
40861	57	Anemadus pellitus Reitter, 1885	Spilaio Kokkinou Vrachou	49	Giachino & Vailati 1993|Beron 2016|Ganglbauer 1896	477|706|14
38722	58	Anemadus sp.	Spilaio Anemotrypa	95	Beron 2016	706
39260	59	Anemadus strigosus (Kraatz, 1852)	Spilaio Megalo Spilaio	99	Giachino & Vailati 1993|Beron 2016	477|706
41400	60	Anopheles claviger (Meigen, 1804)	Underground aqueduct I, Afantou	100	Ghigi 1929|Bezzi 1929|Beron 2016	47|57|706
40498	61	Antrobythus perplexus Besuchet, 1993	Spilaio Agiou Ioanni	1	Besuchet 1993|Beron 2016|Beron 2001|Hlaváč et al. 2008	472|706|542|614
15144	62	Aphodius granarius (Linnaeus, 1767)	Spilaio Ellinospilios	101	Beron 2016|Coiffait 1955	706|134
15147	63	Apodemus epimelas Nehring, 1902	Spilaio Chrysopigis	102	Beron 2016|Lindberg 1955d	706|145
4381	65	Apopestes sp.	Spilaio Agiou Athanasiou	93	Alexiou et al. 2014	681
4758	65	Apopestes sp.	Spilaio Mayer	104	Alexiou et al. 2014|Di Russo et al. 2014	681|685
33533	65	Apopestes sp.	Spilaio Korykeio Antro	51	Alexiou et al. 2014	681
41640	65	Apopestes sp.	Spilaio Rachi I	103	Beron 2016|Lindberg 1955b	706|141
15150	66	Apopestes spectrum (Esper, 1787)	Lavrio mine galleries	5	Hanauer 1976	273
28804	67	Aporcelaimellus obtusicaudatus (Bastian, 1865)	Spilaio Kerateas	7	Traunspurger et al. 2017|Schuurmans Stekhoven & Mawson 1954|Beron 2016|Lindberg 1955d	722|126|706|145
36917	68	Aporrectodea caliginosa (Savigny, 1826)	Spilaio Drakou	106	Omodeo 1955|Szederjesi et al. 2017	135|724
36918	68	Aporrectodea caliginosa (Savigny, 1826)	Spilaio Kamilari	74	Omodeo 1956a|Beron 2016|Szederjesi et al. 2017	149|706|724
