Census_ID	Species_ID	Species	Cave_Name	Cave_ID	Reference_Short	Reference_ID
64183	847	Trichoniscus lindbergi Vandel, 1958	Spilaio Dalamourou	421	Beron 2016|Schmalfuss et al. 2004	706|572
64184	847	Trichoniscus lindbergi Vandel, 1958	Spilaio Kouroupito	422	Beron 2016|Schmalfuss et al. 2004	706|572
64186	847	Trichoniscus lindbergi Vandel, 1958	Spilaio Kamariti	272	Schmalfuss et al. 2004	572
64187	847	Trichoniscus lindbergi Vandel, 1958	Varathro sta Kakalonia	431	Beron 2016|Schmalfuss et al. 2004	706|572
64189	847	Trichoniscus lindbergi Vandel, 1958	Varathro Katerianos Tafkos	425	Beron 2016|Schmalfuss et al. 2004	706|572
64190	847	Trichoniscus lindbergi Vandel, 1958	Varathro Kryoneriou	426	Beron 2016|Schmalfuss et al. 2004	706|572
64191	847	Trichoniscus lindbergi Vandel, 1958	Spilaio Lamias	190	Beron 2016|Schmalfuss 1979|Schmalfuss 1972b|Vandel 1958	706|317|248|163
64192	847	Trichoniscus lindbergi Vandel, 1958	Spilaio Sfentoni Trypa	26	Schmalfuss et al. 2004|Beron 2016	572|706
64193	847	Trichoniscus lindbergi Vandel, 1958	Spilaio Geraniou	148	Schmalfuss et al. 2004	572
64194	847	Trichoniscus lindbergi Vandel, 1958	Spilaio Agias Triadas	37	Schmalfuss et al. 2004|Vandel 1964a|Schmalfuss 1979|Beron 2016	572|189|317|706
64195	847	Trichoniscus lindbergi Vandel, 1958	Spilaio Korykeio Antro	51	Vandel 1964a|Beron 2016|Schmalfuss 1979|Vandel 1959	189|706|317|168
67719	847	Trichoniscus lindbergi Vandel, 1958	Varathro Stou Tafkou to Lakki	433	Beron 2016|Schmalfuss et al. 2004	706|572
67724	847	Trichoniscus lindbergi Vandel, 1958	Varathro Tafkos sti Gonia	435	Beron 2016|Schmalfuss et al. 2004	706|572
67887	847	Trichoniscus lindbergi Vandel, 1958	Spilaio Chonos Sarchou	90	Beron 2016|Andreev 1986|Schmalfuss 1972b|Vandel 1958	706|417|248|163
69858	847	Trichoniscus lindbergi Vandel, 1958	Spilaio Doxa	191	Schmalfuss et al. 2004|Beron 2016	572|706
69981	847	Trichoniscus lindbergi Vandel, 1958	Spilaio Megalo Katofygi	110	Schmalfuss 1979|Schmalfuss 1972b	317|248
70052	847	Trichoniscus lindbergi Vandel, 1958	Spilaio Peristera	184	Schmalfuss 1972b|Schmalfuss 1979	248|317
71523	847	Trichoniscus lindbergi Vandel, 1958	Spilaio Kryoneridas	351	Schmalfuss 1972b|Schmalfuss 1979|Andreev 1986|Beron 2016|Vandel 1968|Schmalfuss et al. 2004	248|317|417|706|213|572
2250	849	Trichoniscus rhodopiense Vandel, 1965	Spilaio Agias Elenis	35	Andreev 1997|Beron 2016	504|706
2369	849	Trichoniscus rhodopiense Vandel, 1965	Spilaio Drakotrypa	38	Beron 2016	706
38413	849	Trichoniscus rhodopiense Vandel, 1965	Spilaio Mavri Trypa	10	Beron 2016|Andreev 1986	706|417
7825	850	Trichoniscus sp.	Spilaio Agion Theodoron	345	Beron 2016	706
47368	850	Trichoniscus sp.	Spilaio Korykeio Antro	51	Alexiou et al. 2014	681
65586	850	Trichoniscus sp.	Spilaio Koufovounou	97	Beron et al. 2004|Beron 2016|Andreev 1986	574|706|417
4375	851	Triconiscus sp.	Spilaio Kontylos	92	Alexiou et al. 2014	681
32801	852	Trigoniomachilis remyiana Wygodzinski, 1958	Anonymo Spilaio Kato Grammatikou	439	Beron 2016|Wygodzinsky 1958	706|165
4043	853	Trigoniophthalmus mimus Wygodzinsky, 1958	Spilaio Bujor	82	Wygodzinsky 1958	165
65961	934	Triphleba antricola (Schmitz, 1918)	Spilaio Trypa Pachnis	120	Beron 2016|Langourov 2001	706|1169
19803	854	Triphosa sabaudiata (Duponchel, 1830)	Spilaio Neraidospilia	94	Alexiou et al. 2014	681
4377	855	Triphosa sp.	Spilaio Kontylos	92	Alexiou et al. 2014	681
56683	855	Triphosa sp.	Spilaio Omorfi Spilia	440	Beron 2016|Bonzano & Calandri 1984	706|387
63462	855	Triphosa sp.	Spilaio Agiou Andrea	205	Beron 2016|Bonzano & Calandri 1984	706|387
55991	856	Tripyla papillata Bütschli, 1873	Spilaio Apano Skalas	55	Lindberg 1955d|Beron 2016	145|706
48220	857	Tripyla sp.	Varathro Provatina	155	Dumnicka 1979	324
66171	859	Troglojapyx hauseri Pagés, 1980	Spilaio Koutouki	86	Beron 2016|Pagés 1980	706|328
61610	951	Troglophilus brevicauda Chopard, 1934	Spilaio Folia Drakou	119	Beron 2016|Beron et al. 2011|Beron 2016|Beron et al. 2011	706|1208|706|1208
65962	951	Troglophilus brevicauda Chopard, 1934	Spilaio Trypa Pachnis	120	Beron 2016|Beron et al. 2011	706|1208
33399	861	Troglophilus lagoi Menozzi, 1934	Spilaio Charkadio	303	Beron 2016|Bacceti 1992	706|467
41408	861	Troglophilus lagoi Menozzi, 1934	Underground aqueduct I, Afantou	100	Beron 2016|Di Russo et al. 2014|Willemse 1984|Menozzi 1935	706|685|390|80
56793	861	Troglophilus lagoi Menozzi, 1934	Palio Pyli cave IV	306	Bacceti 1992|Beron 2016	467|706
63738	862	Troglophilus marinae Rampini & Di Russo, 2003	Spilaio Zoodochou Pigis I	71	Allegrucci et al. 2017|Beron 2016|Di Russo et al. 2014|Alexiou et al. 2013|Gasparo 2009|Rampini & Di Russo 2003|Di Russo & Rampini 2001|Beron 1985|Bacceti 1992	723|706|685|676|629|554|539|399|467
63739	862	Troglophilus marinae Rampini & Di Russo, 2003	Spilaio Zoodochou Pigis II	172	Beron 1985|Beron 2016	399|706
40786	863	Troglophilus neglectus Krauss, 1879	Cave near Naousa	199	Karaman et al. 2011|Mařan 1958|Willemse 1984|Di Russo et al. 2014	651|162|390|685
