ID	Short	Title	Year	Section
182	Chamberlin 1962	New and little-known false scorpions, principally from caves, belonging to the famihes Chthoniidae and Neobisiidae (Arachnida, Chelonethida)	1962	Bull. Am. Mus. nat. Hist., 123 (6): 303-352.
183	Roewer 1962	Über einige mediterrane Arachniden	1962	Fragm. Entomol., 4 (2): 11-18.
184	Dresco 1962	Description d΄ une Araignée cavernicole nouvelle de Grèce (Leptonetidae, Sulica lindbergi sp. nov.)	1962	Ann. Speleol., 17 (1): 171-176.
185	Henrot 1962	Sur quelques Catopidae de Grèce	1962	Rev. fr. Ent., 29: 48-52.
187	Beier 1963	Ordnung Pseudoscorpionidea (Afterskorpione)	1963	Bestimmungstab. Bodenf. Europas, 1: 1-313.
188	Böttger 1963	Die als Schalen juveniler Wurmschnecken (Fam. Vermetidae) angesprochenen Funde aus einer Höhle der Insel Kreta	1963	Arch. Molluskenk., 92 (1/2): 77-78.
189	Vandel 1964a	Biospeologie. La Biologie des Animaux Cavernicoles	1964	Gauthier-Villars, Paris. pp. 619.
190	Vandel 1964b	Les Isopodes cavernicoles récoltés en Grèce par le Docteur H. Henrot	1964	Ann. Speleol., 19 (4): 729-740.
191	Lang 1964	Diplopoden aus Griechenland, Kreta, der Türkei und Iran aus dem Sammlungen von Dr. K. Lindberg	1964	Acta Soc. Zool. Bohemoslov., 28 (3): 237-246.
192	Chopard 1964	Descriptions d΄Orthoptères cavernicoles de Grèce	1964	Bull. Soc. entomol. Fr., 69 (1-2): 17-20.
193	Van Laar & Daan 1964	On some Chiroptera from Greece	1964	Beaufortia, 120 (10): 158-166.
194	Martens 1965	Über südägäische Weberknechte der Inseln Karpathos, Rodos und Kos (Arachnoidea, Opiliones)	1965	Senckenbergiana biol., 46 (1): 61-79.
195	Ondrias 1965	Die Säugetiere Griechenlands	1965	Säugetierk. Mitt., 13 (3): 109-127.
196	Beier 1965	Pseudoscorpiones aus Ostmediterranen Grotten	1965	Fragm. Entomol., 4 (6): 85-90.
197	Chopard 1965	Résultats de la croisière du "Vema" en Méditerranée orientale. Orthoptères	1965	Fragm. Entomol., 4 (6): 73-80.
198	Schmölzer 1965	Bestimmungsbücher zur Bodenfauna Europas. Lieferung 4+5, Ordung Isopoda (Landasseln)	1965	Akademie Verlag, Berlin. pp. 468.
199	Coiffait 1965	Un nouveau Duvalius d΄ Epire: D. (Euduvalius) petrochilosi n.sp. (Col. Carabidae)	1965	 Compte rendu de IV Colleque International Spéléologie (1er en Gréce)., Athenes. pp. 145-148.
200	Dobroruka 1965	Ein Beitrag zur Landtierwelt von Korfu. Chilopoda	1965	Sber. österr. Akad. Wiss. math.-naturw. Kl., 1 (174): 393-402.
201	Pieper 1965	Über einige Fledermaus-Parasiten aus Griechenland	1965	Entom. Zeitschr., 75 (3): 26-29.
202	Kritscher 1966	Zoologische Aufsammlungen auf Kreta. I Einleitung und Fundortliste	1966	Ann. Naturhist. Mus. Wien, 69: 335-341.
203	Mauriès 1966	Découverte, par H. Coiffait, de représentants de genres Speleoglomeris Silv. et Trichoblaniulus Verh. dans les grottes de Grèce (Diplopoda)	1966	Ann. Speleol., 21 (3): 621-630.
204	Beaucournu 1966	Sur quelques Ixodoidea (Acarina) palearctiques infeodes aux micro-Chiropteres	1966	Ann. Parasitol. Hum. Comp., 41 (5): 495-502.
205	Strouhal 1966	Ein weiterer Beitrag zur Süßwasser - und Landasselfauna Korfus. Mit einem Anhang: Eine neue Asellus coxalis- Subspecies von Zante	1966	Sber. Akad. Wiss. Wien, Math.-naturw. Kl. Abt. I, 175 (9-10): 257-315.
206	Martens 1967	Plecotus austriacus (Fischer) auf Kreta; mit Bemerkungen zu weiteren Arten (Mammalia, Chiroptera)	1967	Bonn. Zool. Beitr., 18 (3-4): 253-362.
207	Theodor 1967	An Illustrated Catalogue of the Rothschild Collection of Nycteribiidae (Diptera) in the British Museum (Natural History)	1967	Trustees of the British Museum (Natural History), Publication 655. pp. 506.
208	Henrot 1967	Note sur les Catopidae du Péloponnèse et description d’un Choleva (Cholevopsis) nouveau (Col. Catopidae)	1967	Bull. Soc. entomol. Fr., 72: 61-66.
209	Strasser 1967	Über Diplopoden Griechenlands, einiger Ägäis Inseln und Zyprers	1967	Senckenbergiana biol., 48 (4): 269-293.
210	Laneyrie 1967	Nouvelle classification des Bathysciinae (Coleoptera Catopidae)	1967	Ann. Speleol., 22: 587-645.
211	Cassagnau 1967	Diagnoses preliminaires de deux nouveaux Bilobella de Grèce (Collemboles Neanuridae)	1967	Biol. gallo-hellen., 1 (1): 50-52.
212	Riedel 1968	Zonitidae (Gastropoda) Kretas	1968	Ann. Zool. (Wars.), 25: 473-537.
213	Vandel 1968	Description d΄ un nouveau représentant de genre Cordioniscus (Crustacés, Isopoda, Oniscoidea, Styloniscidae) suivie de considérations sur les voies de migration de certains lignées d΄ Isopodes terrestres	1968	Ann. Speleol., 23 (3): 621-632.
214	Brignoli 1968	Über griechische Leptonetidae (Arachnida: Araneae)	1968	Senckenbergiana biol., 49 (3-4): 259-264.
215	Harz 1969	The Orthoptera of Europe - Die Orthopteren Europas. Vol. I	1969	Dr. W. Junk N.V. Publishers, Hague. pp. 749.
216	Coiffait 1969a	Pselaphides balkaniques	1969	Biol. gallo-hellen., 2 (1): 65-67.
217	Cassagnau 1969	Les espèces européennes du genre Bilobella (Collemboles Neanuridae)	1969	Bull. Mus. Hist. nat., Paris, 40 (2): 299-304.
218	Riedel 1969	Die Ägäis und die Verbreitung der Zonitidae (Gastropoda) in den östlichen Mittelmeerländern	1969	Ann. Zool. (Wars.), 27 (2): 29-51.
219	Strelkov 1969	Migratory and stationary bats of the European part of the Soviet Union	1969	Acta Zool. Cracov., 14: 393-439.
220	Helversen 1969	Roncus (Parablothrus) peramae n.sp., ein troglobionter Neobisiidae aus einer griechischen Trorfsteinhöhle (Arachnida: Pseudoscorpiones: Neobisiidae)	1969	Senckenbergiana biol., 50 (3-4): 225-233.
221	Coiffait 1969b	Formes nouvelles ou mal connues des genres Medon et Hypomedon	1969	Ann. Speleol., 24 (4): 701-727.
222	Beron 1970	Sur quelques Acariens (Myobiidae, Psorergatidae, Spinturnicidae, Sarcoptidae et Listrophoroidae) de Bulgarie et de l΄ ile de Crete	1970	Bull. Inst. Zool. Mus. Sofia, 32: 143-149.
223	Kolebinova 1970	Larves des Trombiculidae (Acarina) de la Corse, des Pyrénées et de la Crète	1970	Bull. Inst. Zool. Mus. Sofia, 32: 93-106.
224	Kratochvil 1970	Cavernicole Dysderae	1970	Acta Sci. Nat. Brno, 4 (4): 1-62.
225	Coiffait 1970	Un nouveau Medon cavernicole du Péloponnèse	1970	Ann. Speleol., 25 (1): 231-233.
226	Boudou-Saltet 1970a	Les Dolichopodes (Orth. Rhaph.) de Grèce II. Une nouvelle espèce: D. vandeli	1970	Biol. gallo-hellen., 3 (1): 89-97.
227	Boudou-Saltet 1970b	Les Dolichopodes (Orth. Rhaph.) de Grèce I. Premiers résultats d΄ une mission en Grèce (Avril 1969)	1970	Biol. gallo-hellen., 3 (1): 81-88.
228	Dalens 1970	Un nouveau représentant du genre Cordioniscus (Isopoda, Oniscoidea, Styloniscidae) récolté en Grèce du Nord	1970	Biol. gallo-hellen., 3 (1): 105-108.
229	Strasser 1970	Über griechische Diplopoden (Griechenland, Korfou, Kreta, Ost-Ägäis)	1970	Senckenbergiana biol., 51 (3/4): 235-253.
230	Schütt 1970	Neue Formen höhlenbewohnender Hydrobiiden des Balkan und ihre Beziehungen zu Paladilhiopsis Pavlovic 1913	1970	Arch. Molluskenk., 100 (5/6): 305-317.
231	Harz 1971	Orthopterologische Beiträge IX	1971	Atalanta (B), 3 (5): 331-338.
232	Deeleman-Reinhold 1971	A new species of Sulcia Kratochvil (Araneida, Leptonetidae) from Greece, and a discussion of some Japanese cavernicolus Leptonetidae	1971	Zool. Meded., Leiden, 45 (25): 289-301.
233	Boudou-Saltet 1971a	Les Dolichopodes de Grèce III. Dolichopoda cassagnaui n. sp	1971	Bull. Soc. Hist. Nat. Toulouse, 107 (1-2): 295-300.
234	Kolebinova & Vercammen-Grandjean 1971	Two new species of larval Trombiculids from isle Crete, Neotrombicula creta n.sp. and Sasatrombicula mediterranea n. sp. (Acarina, Trombiculidae)	1971	C. r. Acad. bulg. Sci., 24 (1): 91-94.
235	Bou 1971	Observations sur la faune des eaux souterraines de Grèce	1971	 International speleological meeting, second in Greece. Athens 1971. Publisher, Athens. pp. 243-256.
236	Brignoli 1971a	Beitrag zur Kenntnis der mediterranen Pholcidae (Arachnida, Araneae)	1971	Mitt. zool. Mus. Berlin, 47 (2): 255-267.
237	Boudou-Saltet 1971b	Les Dolichopodes de Grèce IV. Découverte de la femelle de Dolichopoda insignis	1971	Bull. Soc. Hist. Nat. Toulouse, 107 (3-4): 615-618.
238	Senglet 1971	Note sur les Pholcidae de Grèce	1971	Mitt. schweiz. ent. Ges., 44: 345-359.
239	Brignoli 1971b	Su alcuni Lepthyphantes di Creta (Araneae, Linyphiidae)	1971	Fragm. Entomol., 7 (4): 231-241.
240	Pinter 1972	Die Gattung Vitrea Fitzinger, 1833 in dem Balkanländern (Gastropoda Zonitidae)	1972	Ann. Zool. (Wars.), 29 (8): 209-315.
241	Heurtault 1972	Chthonius C. petrochilosi (Arachnide, Pseudoscorpion, Chthonidae), nouvelle espèce cavernicole de Grèce	1972	Biol. gallo-hellen., 4: 19-25.
242	Boudou-Saltet 1972a	Les Dolichopodes (Orth. Rhaph.) de Grèce VII. Nouvelles espèces du Péloponnèse	1972	Bull. Soc. Hist. Nat. Toulouse, 108 (3-4): 420-425.
243	Boudou-Saltet 1972b	Les Dolichopodes (Orth. Rhaph.) de Grèce V. Deux nouvelles espèces: Dolichopoda naxia et D. steriotisi	1972	Biol. gallo-hellen., 4 (1): 99-108.
244	Schmalfuss 1972a	Die Isopoden der Inseln Rhodos und Karpathos (Südostägäis)	1972	Zool. Jb. Syst., 99: 561-609.
245	Weygoldt 1972	Charontidae (Amblypygi) aus Brasilien. Beschreibung von zwei neuen Charinus-Arten, mit Anmerkungen zur Entwicklung, Morphologie und Tiergeographie und mit einem Bestimmungsschlüssel für die Gattung Charinus	1972	Zool. Jahrb. Abt. Syst. Ökol. Geogr. Tiere, 99: 107-132.
246	Riedel 1972	Die Untergattung Schistophallus A. J. Wagner in Europa und Kleinasien (Gastropoda, Zonitidae)	1972	Ann. Zool. (Wars.), 29 (7): 181-207.
247	Helversen & Martens 1972	Unrichtige Fundort-Angaben in der Arachniden-Sammlung Roewer	1972	Senckenbergiana biol., 53 (1-2): 109-123.
248	Schmalfuss 1972b	Die Isopoden von Kreta	1972	Biol. gallo-hellen., 4 (1): 33-60.
249	Brignoli 1972	Su alcuni ragni cavernicoli di Corfu	1972	Rev. suisse Zool., 79 (2): 861-869.
250	Hurka 1972	Basilia mongolensis nudior subsp. n. nebst Bemerkungen zur Nycteribien- und Streblidenfauna Thrakiens (Diptera: Pupipara)	1972	Ann. Naturhist. Mus. Wien, 76 (April): 709-713.
251	Vigna Taglianti 1973	Considerazioni sui Carabidi cavernicoli ed endogei dell΄ Asia Minore (Coleoptera, Carabidae)	1973	Int. J. Speleol., 5 (3): 349-360.
252	Boudou-Saltet 1973a	Les Dolichopodes (Orth. Rhaph.) de Grèce VIII. Nouvelles espèces de Crète	1973	Biol. gallo-hellen., 5 (1): 57-63.
253	Strasser 1973	Zwei neue griechische Acanthopetalum-Arten (Diplopoda, Callipodida)	1973	Fragm. Entomol., 8 (5): 237-245.
254	Mahnert 1973	Über griechische Pseudoskorpione II: Höhlenpseudoskorpione (Pseudoscorpiones, Neobisiidae) von Korfu	1973	Rev. suisse Zool., 80 (1): 207-223.
255	Boudou-Saltet 1973b	Les Dolichopodes (Orth. Rhaph.) de Grèce VI. Dolichopoda annae, nouvelle espèce de Thessalie	1973	Biol. gallo-hellen., 4 (2): 169-174.
256	Cerruti 1973	Contributo alla conoscenza del genere Speluncarius Reitter (Coleoptera, Pterostichidae) (Coleopterofauna egea - II nota)	1973	Fragm. Entomol., 9 (3): 195-203.
257	Niethammer 1974	Zur verbreitung und taxonomie griechischer säugetiere	1974	Bonn. Zool. Beitr., 25 (1-3): 28-55.
258	Strasser 1974	Über Diplopoda-Chilognatha Griechenlands	1974	Rev. suisse Zool., 81 (1): 219-300.
259	Brignoli 1974a	Ragni di Grecia VII. Recolte in grotte dell΄ Attica del Dr. P. Strinati.Specie nuove o interessanti dele isole Ionie a della Morea	1974	Rev. suisse Zool., 81 (2): 493-499.
260	Kock 1974	Pupipare Dipteren von Säugetieren des nordöstlichen Mittelmeerraumes (Ins.: Diptera)	1974	Senckenbergiana biol., 55 (1/3): 87-104.
261	Beron 1974	Données nouvelles sur les Acariens parasites des mammifères en Bulgarie, en Yougoslavie, en Turquie et aux îles de Corse et de Crète	1974	Bull. Inst. Zool. Mus. Sofia, 40: 59-69.
262	Brignoli 1974b	Araignées de Grèce VIII. Quelques Leptonetidae de la Laconie et de l΄ île de Crète (Arachnida, Araneae)	1974	Ann. Speleol., 29 (1): 63-70.
263	Brignoli 1974c	Ragni di Grecia VI. Specie nuove o interessanti dele isole Ionie a della Morea	1974	Rev. suisse Zool., 81 (1): 155-175.
264	Mahnert 1975	Griechische Höhlenpseudoskorpione	1975	Rev. suisse Zool., 82 (1): 169-184.
265	Condé 1975	Les Palpigrades du Muséum d΄ Histoire naturelle de Genève	1975	Rev. suisse Zool., 82 (3): 507-513.
266	Boudou-Saltet & Capolongo 1975	Le spermatophore chez quelques espèces de Dolichopoda (Orth. Rhaph) de Grèce et d΄ Italie	1975	Biol. gallo-hellen., 6 (1): 3-8.
267	Schmalfuss 1975	Neues Isopoden-Material aus Griechenland	1975	Sber. Akad. Wiss. Wien, Math.-naturw. Kl. Abt. I, 184: 27-66.
268	Vachon 1975	Recherches sur les Scorpions appartenant ou déposés au Muséum d'Histoire naturelle de Genève. I. Contribution à une meilleure connaissance des espèces et des sous-espèces de Scorpions du genre Euscorpius Thorell, 1876 (Fam. des Chactidae)	1975	Rev. suisse Zool., 82 (3): 629-645.
269	Henry 1975	Données sur les Asellides de Grèce et description de Proasellus sketi n.sp	1975	Biol. gallo-hellen., 6 (4): 139-144.
270	Bou 1975	Recherches sur la faune des eaux souterraines de Grèce	1975	Biol. gallo-hellen., 6 (1): 101-115.
271	Us 1975	Cave Orthoptera (Saltatoria: Raphidophoridae and Gryllidae) collected by Dr. Jean Gajac in Jugoslavia, Greece and Turkey	1975	Ent. mon. Mag., 110: 182-192.
272	Paoletti 1975	Una "Phaneropella" greca inedita della collesione Mueller (Coleoptera, Bathysciinae)	1975	Atti Mus. Civ. Stor. Natur. Trieste, 29 (1): 1-6.
273	Hanauer 1976	Falterfunde in Höhlen Mittelgriechenlands	1976	Ent. Z., 86 (22): 241-244.
274	Mahnert 1976a	Zwei neue Pseudoskorpion - Arten (Arachnida) aus griechische Höhlen (über griechische Pseudoskorpione VII)	1976	Ber. nat.-med. Ver. Innsbruck, 63: 177-183.
275	Coiffait 1976	Clef de determination des Medon de la région paleartique occidentale avec description d' une espèce cavernicole nouvelle	1976	Ann. Speleol., 31: 229-243.
276	Mahnert 1976b	Zur Kenntnis der Gattungen Acanthocreagris und Roncocreagris (Arachnida, Pseudoscorpiones, Neobisiidae)	1976	Rev. suisse Zool., 83 (1): 193-214.
277	Condé 1976	Quelques Microarthropodes conservés à Genève (Palpigrades, Protoures, Diploures Campodeides)	1976	Rev. suisse Zool., 83 (3): 747-755.
278	Brignoli 1976	Ragni di Grecia IX. Specie nuove o interessanti delle famiglie Leptonetidae, Dysderidae, Pholcidae ed Agelenidae (Araneae)	1976	Rev. suisse Zool., 83 (3): 539-578.
279	Strasser 1976	Über Diplopoda-Chilognatha Griechenlands II	1976	Rev. suisse Zool., 83 (3): 579-645.
280	Vachon & Jaques 1977	Recherches sur les Scorpions appartenant ou déposés au Muséum d΄ Histoire naturelle de Genève II.-— Contribution à la connaissance de l'ancienne espèce Scorpius banaticus CL. Koch, 1841, actuellement considérée comme synonyme de Euscorpius carpathicus (Li	1977	Rev. suisse Zool., 84 (2): 409-436.
281	Riedel 1977	Materialien zur Kenntnis der Zonitidae (Gastropoda). IX-XI	1977	Ann. Zool. (Wars.), 33 (24): 495-515.
283	Brignoli 1977	Ragni di Grecia X. Nuovi dati sulla Grecia continentale ed insulare	1977	Rev. suisse Zool., 84 (4): 937-954.
284	Mahunka 1977	Drei neue Anoetiden-Arten (Acari) von den Ionischen Inseln Griechenlands. (Neue und interessante Milben aus dem Genfer Museum XXVI)	1977	Ann. Mus. Goulandris, 3: 121-129.
285	Gittenberger 1977	Cave snails from Corfu, Greece	1977	 Com. 6e Simposium Espeleol. Terrassa 1977., Terrassa. pp. 47-53.
286	Pieper 1977	Fledermäuse aus Schleiereulen-Gewöllen von der Insel Kreta	1977	Zeitschrift für Säugetierkunde, 42 (1): 7-12.
287	Felten et al. 1977	Zur Kleinsäugerfauna West-Anatoliens. Teil IIIa	1977	Senckenbergiana biol., 58: 1-44.
288	Gueorguiev 1977	La faune troglobie terrestre de la péninsule Balkanique. Origine, formation et zoogéographie	1977	Acad. Bulgare des Sciences, Institut de Zoologie, Sofia.Academie Bulgare des Siences, Sofia. pp. 182.
289	Karaman & Pinkster 1977	Freshwater Gammarus species from Europe, North Africa and adjacent regions of Asia (Crustacea - Amphipoda)	1977	Bijdragen Tot De Dierkunde, 47 (1): 1-86.
290	Iliopoulou-Georgudaki 1977	Taxonomic study and geographical distribution of Chiroptera in Greece	1977	. pp. 173.
291	Deltshev 1978	The origin formation and zoogeography of troglobitic spiders of the Balkan peninsula	1978	Symposia of the Zoological Society of London, 42: 345-351.
293	Boudou-Saltet 1978	Sur les Troglophiles (Orthopteres cavernicoles) de Crète	1978	Bull. Soc. Hist. Nat. Toulouse, 114 (1-2): 115-121.
294	Iliopoulou-Georgudaki & Ondrias 1978	Population variation in Miniopterus schreibersi from Greece	1978	Biol. gallo-hellen., 7 (1-2): 223-232.
295	Danielopol 1978	Über Herkunft und Morphologie der Süßwasser-hypogäischen Candoninae (Crustacea, Ostracoda)	1978	Sitzungsberichte der Österreichischen Akademie der Wissenschaften, Mathematisch-Naturwissenschaftliche Klasse, 187: 1-62.
296	Papp 1978	Some cavernicolous Diptera of the Geneva Museum	1978	Rev. suisse Zool., 85 (1): 99-106.
297	Pesce et al. 1978	Biological researches on the subterranean phreatic waters of northern Greece	1978	 1er Symposium International sur la Zoogeographie et la Ecology de la Grèce et régions avoisinantes. Publisher, Athens. pp. 109-126.
298	Seidl 1978	Zur Molluskenfauna von Kreta: I. Historische Aufzeichnungen. Aus dem Reisetagebuch von Hofrat Dr. RUDOLF STURANY ausgewählt und kommentiert	1978	Mitt. zool. Ges. Braunau, 3 (5/7): 157-193.
299	Besuchet 1978a	Un Bythinus cavernicole nouveau (B. hauseri) de la Grèce (Coleoptera, Pselaphidae)	1978	Ann. Mus. Goulandris, 4: 263-265.
300	Besuchet 1978b	Le genre Namunia Reitt. (Coleoptera, Pselaphidae)	1978	Rev. suisse Zool., 35 (1): 127-133.
301	Gruber 1978	Weberknechte (Opiliones, Arach.) von Inseln der Ägäis	1978	Ann. Naturhist. Mus. Wien, 81: 567-573.
302	Mahnert 1978	Weitere Pseudoskorpione (Arachnida Pseudoscorpiones) aus griechische Höhlen	1978	Ann. Mus. Goulandris, 4: 273-298.
303	Pagés 1978	Dicellurata Genavensia V. Espèces d΄ Europe et du bassin méditerranéen No 1	1978	Rev. suisse Zool., 85 (1): 31-46.
304	Riedel 1978	Kritische Bemerkungen und Ergänzungen zur Kenntnis der Superfamilie Daudebardiinae (Gastropoda, Zonitidae) mit Verzeichnis aller akzeptierten Arten	1978	Ann. Zool. (Wars.), 34 (8): 139-206.
305	Boudou-Saltet et al. 1978	Biotope hypogé saisonnier d΄ un Bufonide en Eubée (Batracien, Anoure), présence d΄ un Dolichopoda nouveau dans son tube digestif	1978	Biol. gallo-hellen., 7: 233-237.
306	Cottarelli & Mura 1979	Harpacticoides des eaux souterraines de l'ile de Cephalonie	1979	Biol. gallo-hellen., 8: 95-98.
1180	Gittenberger 2000	Serrulininae in Greece, there may be more (Gastropoda, Pulmonata, Clausiliidae).	2000	Basteria 64:81-87
308	Bou & Ruffo 1979	Contributo alla conoscentza delle Bogidiella di Grecia	1979	Natura, Milano, 70 (4): 295-309.
309	Riedel 1979a	Materialen zur Kenntnis paläarktischen Zonitidae (Gastropoda). XII-XIV	1979	Fragm. faun., 25 (9): 115-125.
310	Mahnert 1979	Pseudoskorpione (Arachnida) aus Höhlen Griechenlands, insbesondere Kretas	1979	Arch. Sci. Genève, 32 (3): 213-233.
311	Riedel 1979b	The geographical distribution of Zonitidae (Gastropoda Terrestria) in Greece	1979	Biol. gallo-hellen., 8: 167-169.
312	Deltshev 1979	A contribution to the study of Cave Spiders (Araneae) in Greece. Four new species (Aaraneae, Nesticidae, Linyphiidae) from the Islands of Crete and Thera	1979	Acta Zool. Bulg., 13: 53-63.
1196	Seemann et al. 1986	Planungsentwurf und Gutachten zum Ausbau der Alistratihöhle zur Schauhöhle.	1986	Ausarbeitung im Auftrag des Ministeriums für Kultur und Wissenschaft, Athen und der Präfektur von Serron, Griechenland: 21pp.
315	Mahunka 1979	Neue und interessante Milben aus dem Genfer Museum XLI.Vierter Beitrag zur Kenntnis der Oribatiden-Fauna Griechenlands (Acari: Oribatida)	1979	Rev. suisse Zool., 86 (2): 541-571.
316	Condé 1979a	Palpigrades d΄ Europe méridionale et d΄ Asie tropicale	1979	Rev. suisse Zool., 86 (4): 901-912.
317	Schmalfuss 1979	Revidierte Check-List der Landisopoden (Oniscoidea) Griechenlands	1979	Stuttgart. Beitr. Naturk. Ser. A. (Biol.), 331: 1-42.
318	Iliopoulou-Georgudaki 1979	A record of Myotis blythi omari (Mammalia, Chiroptera) from Crete, Greece	1979	Bonn. Zool. Beitr., 30 (1/2): 22-26.
1179	Riedel 1985b	Revision der Gattung Zonites Montfort (Gastropoda, Zonitidae): griechische Arten.	1985	Ann. zool., Warszawa, 39: 1-67.
320	Brignoli 1979a	Ragni di Grecia XI. Specie nuove o interessanti, cavernicole ed epigee	1979	Rev. suisse Zool., 86 (1): 181-202.
321	Casale 1979	Note su alcuni Duvalius del Peloponneso, con descrizione di una nuova specie (Coleoptera, Carabidae, Subf. Trechinae)	1979	Ent. basil., 4: 173-186.
322	Condé 1979b	Palpigrades de Grèce, de Guyane et du Kenya	1979	Rev. suisse Zool., 86 (1): 167-179.
323	Brignoli 1979b	Considérations zoogéographiques sur les Araignées cavernicoles de Grèce	1979	Biol. gallo-hellen., 8: 223-236.
324	Dumnicka 1979	Remarks on invertebrate fauna of the cave Provatina (Greece) with a description of a new species of the family Enchytraeidae (Oligochaeta)	1979	Bull. Acad. Polon. Sci., 27 (12): 1041-1046.
325	Osella 1980	Due nuovi Curculionidi anoftalmi del Mediterraneo orientale (Coleoptera). (XXIII. Contributo alla conoscenza della Curculionidofauna endogea)	1980	Rev. suisse Zool., 87 (3): 813-819.
326	Vigna Taglianti 1980	Nouvelles données sur la systématique et la répartition géographique des Coléoptères Carabiques cavernicoles et endogés du Proche-Orient (Coleoptera, Carabidae)	1980	Mem. Biospeol., 7: 163-172.
327	Bordoni 1980	Studi sui Paederinae - III - I Medon Steph. paleartici con descrizione di nuove specie mediterranee (Col. Staphylinidae)	1980	Boll. Lab. Ent. agr. "F. Silvestri", 37: 73-125.
328	Pagés 1980	Dicellurata Genavensia VII. Japygides d΄ Europe et du bassin méditerranéen No 2	1980	Rev. suisse Zool., 87 (2): 637-645.
329	Matic 1980	Chilopodes recueillis dans l΄ île Créta	1980	Acta Zool. Bulg., 15: 99-102.
1195	Šťáhlavský et al. 2005	Karyotype study on pseudoscorpions of the genus <i>Lasiochernes,/i> Beier (Pseudoscorpiones: Chernetidae).	2005	Folia Biologica-Krakow 53: 69-74
331	Vigna Taglianti et al. 1980	Un nuovo Duvalius cavernicolo dell΄ isola di Creta (Coleoptera, Carabidae)	1980	Fragm. Entomol., 15 (2): 295-303.
332	Brignoli 1980	Some new or interesting Mediterranean Dysderidae and Agelenidae (Araneae)	1980	Ann. Zool. (Wars.), 35 (7): 75-81.
335	Boudou-Saltet 1980	Les Dolichopodes (Orth. Rhaph.) de Grèce IX. Une espèce nouvelle en Eubée: Dolichopoda makrykapa	1980	Biol. gallo-hellen., 9 (1): 123-134.
336	Besuchet 1981	Contribution à l΄ étude des Batrisodes paléarctiques (Coleoptera: Pselaphidae)	1981	Rev. suisse Zool., 88 (1): 275-296.
337	Malicky 1981	The phenology of dispersal of several Caddisfly (Trichoptera) species in the island of Crete	1981	3rd Int. Symp. on Trichoptera. Series Entomologica, 20: 157-163.
1193	Harvey 1991	Catalogue of the Pseudoscorpionida.	1991	Manchester University Press, 726 pp.
1194	Kunt et al. 2008	The cave dwelling arthropods of Dim cave (Turkey: Antalya: Alanya).	2008	Mun. Ent. Zool. 3(2): 682-690
339	Scheller 1981	The Pauropoda and Symphyla of the Geneva Museum VIII. Pauropoda collected in Greece by Dr. Bernd Hauser (Myriapoda)	1981	Rev. suisse Zool., 88 (1): 101-107.
340	Schmalfuss 1981	Die Isopoden der Nördlichen Sporaden (Ägäis)	1981	Stuttgart. Beitr. Naturk. Ser. A. (Biol.), 334: 1-24.
341	Danielopol 1981	Distribution of ostracods in the groundwater of the North Western Coast of Euboea (Greece)	1981	International Journal of Speleology, 11: 91-103.
342	Riedel 1981a	Vitreini (Gastropoda, Zonitidae) von den ägäischen Inseln Chios, Samos und Ikaria	1981	Ann. Zool. (Wars.), 36 (11): 229-240.
343	Deeleman-Reinhold 1981	Remarks on the origin and distribution of troglobitic spiders	1981	 Proceedings of the 8th International Congress of Speleology., Georgia, USA. pp. 305-308.
344	Schawaller 1981	Eine neue troglobionte Roncus - Art und weitere Pseudoskorpione von den Nördlichen Sporaden (Ägäis) (Arachnida: Pseudoscorpiones)	1981	Stuttgart. Beitr. Naturk. Ser. A. (Biol.), 344: 1-9.
1191	Roewer 1917	Uber Nemastomatiden und ihre Verbreitung.	1917	Arch. Naturg., 83A (2): 140-160.
1192	Roewer 1951	Uber Nemastomatiden. Weitere Weberknechte XVI.	1951	Senckenbergiana 32(1/4):95–153
347	Pesce & Maggi 1981	Cyclopides et Calanoides des eaux phreatiques de la Grèce méridionale et insulaire (Crustacea: Copepoda)	1981	Ecologia Mediterranea, 7 (1): 163-182.
348	Riedel 1981b	Eine neue unterirdische Lindbergia - Art von der Insel Kasos, Griechenland (Gastropoda, Zonitidae)	1981	Ann. Zool. (Wars.), 36 (16): 281-287.
349	Tabacaru 1982	Recherches zoogéographiques sur les diplopodes du sud-est de l΄ Europe et du Proche-Orient (II)	1982	Trav. Inst. Speol. "Emil Racovitza", 21: 11-17.
351	Mahnert 1982	Neue höhlenbewohnende Pseudoskorpione aus Spanien, Malta und Griechenland, (Arachnida Pseudoscorpiones)	1982	Mitt. schweiz. ent. Ges., 55: 297-304.
352	Michalis 1982	Katalog der Oligochaetenfauna Griechenlands	1982	Biol. gallo-hellen., 9 (2): 343-362.
353	Casale 1982	Nuovi Carabidi del Marocco, di Grecia e di Papua-Nuova Guinea (Coleoptera)	1982	Rev. suisse Zool., 89 (1): 229-244.
354	Riedel 1982	Die Gattungen Allaegopis Riedel und Doraegopis gen. n. (Gastropoda, Stylomatophora, Zonitidae)	1982	Malak. Abh. Mus. Tierkd., Dresden, 8 (1): 1-28.
355	Mahunka 1982	Neue und interessante Milben aus dem Genfer Museum XXXIX. Fifth Contribution to the Oribatid Fauna of Greece (Acari: Oribatida)	1982	Rev. suisse Zool., 89 (2): 497-515.
