ID	Short	Title	Year	Section
553	Harvey 2003	Catalogue of the Smaller Arachnid Orders of the World. Amblypygi, Uropygi, Schizomida, Palpigradi, Ricinulei and Solifugae	2003	CSIRO Publishing. pp. 398.
554	Rampini & Di Russo 2003	Una nuova specie del genere Troglophilus Krauss, 1879 (Orthoptera, Rhaphidophoridae) delle Cicladi, Grecia	2003	Boll. Mus. civ. St. nat. Verona (27): 23-29.
555	Stoev & Enghoff 2003	Systematics, phylogeny and biogeography of genus Balkanopetalum Verhoeff, 1926 (Diplopoda: Callipodida: Schizopetalidae)	2003	Zootaxa, 272: 1-26.
556	Gasparo 2003	Tre campagne biospeleologiche a Creta	2003	Progressione, 48 (1): 59-62.
557	Andreev 2004	Contribution a l'étude des isopodes terrestres de Grèce. 5. Alistratia beroni n. gen., n. sp. (Isopoda: Oniscidea: Trichoniscidae)	2004	Hist. Nat. Bulg., 16 (1986): 73-809.
558	Schmidt & Leistikow 2004	Catalogue of genera of the terrestrial Isopoda (Crustacea: Isopoda: Oniscidea)	2004	Steenstrupia, 28: 1-118.
559	Kiefer & Helversen 2004a	Plecotus macrobullaris (Kuzjakin, 1965) – Alpenlangohr	2004	In Krapp, F. Handbuch der Säugetiere Europas. Band 4: Fledertiere. Teil II: Chiroptera II. Vespertilionidae 2, Molossidae, Nycteridae. Publisher. pp. 1051-1058.
560	Ivanova & Gueorguieva 2004	Bats (Mammalia : Chiroptera) of the Eastern Rhodopes (Bulgaria and Greece) – species diversity , zoogeography and faunal patterns	2004	In Beron, Petar;Popov, A. Biodiversity of Bulgaria. 2. Biodiversity of Eastern Rhodopes (Bulgaria and Greece). Publisher. pp. 907-927.
561	Sket et al. 2004	A census of the obligate subterranean fauna of the Balkan Peninsula	2004	In Griffiths, H. I.;Krystufek, B.;Reed, J. M. Balkan Biodiversity - pattern and process in the European hotspot. Publisher, London. pp. 309-322.
562	Gasparo 2004a	Note sul genere Minotauria Kulczynski, 1903, con ridescrizione del maschio di M. fagei (Kratochvíl, 1970) stat. nov. (Araneae, Dysderidae)	2004	Atti e Memorie della Commissione Grotte “E. Boegan”, 39: 51-65.
563	Juste et al. 2004	Mitochondrial phylogeography of the long-eared bats (Plecotus) in the Mediterranean Palaearctic and Atlantic Islands	2004	Molecular Phylogenetics and Evolution, 31 (3): 1114-1126.
564	Köhler et al. 2004	A new cave population of Discoptila beroni Popov, 1975 (Insecta: Ensifera: Gryllidae) from southern Turkey, with some remarks on the genus	2004	Ann. Naturhist. Mus. Wien, 105B: 265-275.
565	Gasparo 2004b	Ricerche biospeleologiche nelle isole Ionie meridionali	2004	Progressione, 51 (2): 82-84.
